楽曲名,難易度,楽曲レベル,クリアランク,スコアグレード,ハイスコア,プレー回数,クリア回数,ULTIMATE CHAIN,PERFECT
超越してしまった彼女と其を生み落した理由,HEAVENLY,18,COMPLETE,AA,9465759,8,1,0,0
Bangin' Burst,ADVANCED,13,ULTIMATE CHAIN,S,9962248,4,4,2,0
Bangin' Burst,EXHAUST,19,COMPLETE,AA+,9515189,104,3,0,0
Bangin' Burst,GRAVITY,19,PLAYED,A+,9222759,10,0,0,0
For UltraPlayers,ADVANCED,13,EXCESSIVE COMPLETE,S,9946504,4,4,0,0
For UltraPlayers,EXHAUST,19,COMPLETE,AA+,9644046,38,29,0,0
For UltraPlayers,HEAVENLY,19,PLAYED,AA,9396284,4,0,0,0
BLACK or WHITE?,ADVANCED,12,COMPLETE,AAA,9783210,1,1,0,0
BLACK or WHITE?,EXHAUST,18,EXCESSIVE COMPLETE,AA+,9595500,62,27,0,0
BLACK or WHITE?,GRAVITY,19,COMPLETE,AA+,9580645,27,21,0,0
Hellfire,ADVANCED,12,ULTIMATE CHAIN,AAA+,9895833,1,1,1,0
Hellfire,EXHAUST,17,EXCESSIVE COMPLETE,AAA+,9820448,43,36,0,0
Hellfire,GRAVITY,18,COMPLETE,AA+,9657422,22,20,0,0
Last Concerto,ADVANCED,12,COMPLETE,AAA,9721377,1,1,0,0
Last Concerto,EXHAUST,17,EXCESSIVE COMPLETE,AAA,9726214,63,43,0,0
Last Concerto,GRAVITY,18,COMPLETE,AA+,9511186,7,4,0,0
Stella Sinistra,EXHAUST,16,EXCESSIVE COMPLETE,AAA,9710356,48,43,0,0
HYENA,EXHAUST,17,EXCESSIVE COMPLETE,AAA,9755658,33,22,0,0
PUNISHER,EXHAUST,16,EXCESSIVE COMPLETE,S,9900831,21,21,0,0
マインド・ゲーム,EXHAUST,14,EXCESSIVE COMPLETE,S,9954481,10,10,0,0
Erlung,EXHAUST,14,ULTIMATE CHAIN,S,9924309,10,9,2,0
Erlung,GRAVITY,17,EXCESSIVE COMPLETE,AAA+,9802590,15,15,0,0
choux à la crème,EXHAUST,16,EXCESSIVE COMPLETE,AAA+,9825072,52,35,0,0
choux à la crème,GRAVITY,17,EXCESSIVE COMPLETE,AAA,9733368,12,12,0,0
take a step forward,EXHAUST,15,EXCESSIVE COMPLETE,AAA+,9887493,27,25,0,0
take a step forward,HEAVENLY,17,EXCESSIVE COMPLETE,AA+,9590380,2,2,0,0
TrailBlazer,EXHAUST,13,ULTIMATE CHAIN,S,9992012,6,4,3,0
TrailBlazer,GRAVITY,16,EXCESSIVE COMPLETE,S,9938235,5,5,0,0
Last Battalion,EXHAUST,15,EXCESSIVE COMPLETE,S,9906832,10,9,0,0
Last Battalion,GRAVITY,17,EXCESSIVE COMPLETE,AAA,9784226,10,10,0,0
クノイチでも恋がしたい,EXHAUST,16,EXCESSIVE COMPLETE,AAA+,9857819,20,19,0,0
shiningray,EXHAUST,13,ULTIMATE CHAIN,AAA+,9894409,45,45,2,0
タイムマシン,EXHAUST,13,EXCESSIVE COMPLETE,S,9927350,1,1,0,0
Decretum,EXHAUST,17,EXCESSIVE COMPLETE,AA+,9570552,91,34,0,0
Dignity,EXHAUST,16,EXCESSIVE COMPLETE,S,9925253,29,24,0,0
ムーニャポヨポヨスッポコニャーゴ,EXHAUST,17,EXCESSIVE COMPLETE,AA+,9623131,35,24,0,0
We Are The Scarlet (SDVX Edit),EXHAUST,15,EXCESSIVE COMPLETE,AAA+,9866908,43,38,0,0
Devotion,EXHAUST,12,ULTIMATE CHAIN,S,9964929,8,8,1,0
ルーネイトエルフ(Riz Mix),EXHAUST,14,EXCESSIVE COMPLETE,S,9949421,17,17,0,0
True Blue,EXHAUST,17,EXCESSIVE COMPLETE,AAA,9782239,51,20,0,0
Shadows in the Light,EXHAUST,13,EXCESSIVE COMPLETE,S,9931921,2,2,0,0
Demetel,EXHAUST,12,ULTIMATE CHAIN,S,9989816,3,3,3,0
トラウィスカルパンテクートリ,EXHAUST,16,EXCESSIVE COMPLETE,AA+,9597026,36,31,0,0
ゆうしゃのなつやすみ,EXHAUST,14,EXCESSIVE COMPLETE,S,9926282,5,5,0,0
Electric "Sister" Bitch,EXHAUST,16,EXCESSIVE COMPLETE,S,9932671,46,43,0,0
桜華月想-SDVX EDIT-,EXHAUST,12,ULTIMATE CHAIN,S,9981834,17,17,2,0
やばいつよくてあたまいいあたいのうた,EXHAUST,15,EXCESSIVE COMPLETE,S,9942872,22,17,0,0
- dirty rouge -,EXHAUST,15,EXCESSIVE COMPLETE,S,9900455,23,21,0,0
BUBBLE RAVER,EXHAUST,15,ULTIMATE CHAIN,S,9902527,14,13,1,0
Paradoxy,EXHAUST,15,EXCESSIVE COMPLETE,AAA+,9898538,21,21,0,0
Rings of Rainbow,EXHAUST,15,EXCESSIVE COMPLETE,S,9908285,12,11,0,0
LEMON SUMMER,EXHAUST,15,EXCESSIVE COMPLETE,AAA+,9884776,20,19,0,0
赤より紅い夢-Aya2g Tech Dance Remix-,EXHAUST,16,EXCESSIVE COMPLETE,S,9902975,48,40,0,0
Indomitable Spirit,EXHAUST,13,EXCESSIVE COMPLETE,S,9981231,20,20,0,0
Catadioptric,EXHAUST,13,ULTIMATE CHAIN,S,9971381,18,18,1,0
放課後ストライド,EXHAUST,16,EXCESSIVE COMPLETE,S,9929942,24,16,0,0
放課後ストライド,HEAVENLY,17,EXCESSIVE COMPLETE,AAA,9729429,2,2,0,0
