楽曲名,難易度,楽曲レベル,クリアランク,スコアグレード,ハイスコア,プレー回数,クリア回数,ULTIMATE CHAIN,PERFECT
「月風魔伝」龍骨鬼戦 yks Remix,INFINITE,16,EXCESSIVE COMPLETE,S,9925675,22,14,0,0
ごりらがいるんだ,EXHAUST,12,COMPLETE,AAA+,9830942,7,4,0,0
ごりらがいるんだ ～かぼちゃが歌ってみたver～,INFINITE,15,ULTIMATE CHAIN,AAA+,9892116,19,19,1,0
jet coaster☆girl sasakure.UK tRiCkStAr Remix,EXHAUST,9,ULTIMATE CHAIN,S,9921316,3,3,2,0
dilemma,EXHAUST,10,EXCESSIVE COMPLETE,AAA+,9837340,1,1,0,0
SurVALI,EXHAUST,11,EXCESSIVE COMPLETE,AAA+,9809610,1,1,0,0
smooooch・∀・ KN mix,EXHAUST,13,EXCESSIVE COMPLETE,S,9927983,4,4,0,0
とある少年の一日,EXHAUST,12,ULTIMATE CHAIN,S,9926739,3,3,1,0
ナナイロ,INFINITE,13,EXCESSIVE COMPLETE,S,9966542,1,1,0,0
西日暮里の踊り,EXHAUST,12,PERFECT,S,10000000,1,1,0,1
西日暮里の踊り,INFINITE,16,EXCESSIVE COMPLETE,S,9966887,10,9,0,0
Ha･lle･lu･jah,EXHAUST,13,ULTIMATE CHAIN,S,9954128,20,18,1,0
Ha･lle･lu･jah,INFINITE,15,EXCESSIVE COMPLETE,S,9921328,21,21,0,0
バタフライキャット,EXHAUST,12,EXCESSIVE COMPLETE,AAA+,9815515,5,4,0,0
バタフライキャット,INFINITE,16,EXCESSIVE COMPLETE,S,9909977,6,6,0,0
PULSE LASER,EXHAUST,12,EXCESSIVE COMPLETE,AAA,9791878,4,4,0,0
PULSE LASER,INFINITE,16,EXCESSIVE COMPLETE,S,9914163,21,20,0,0
ヒマワリ MUZIK SERVANT Remix,EXHAUST,10,EXCESSIVE COMPLETE,S,9917943,1,1,0,0
ふしぎなくすり いっきのみっくす,EXHAUST,11,COMPLETE,AAA+,9836852,1,1,0,0
Broken 8cmix,EXHAUST,14,ULTIMATE CHAIN,AAA+,9887955,25,24,1,0
Broken 8cmix,HEAVENLY,18,EXCESSIVE COMPLETE,AA+,9660023,14,8,0,0
MAX 300 takamatt MIN REMIX,EXHAUST,11,EXCESSIVE COMPLETE,S,9953757,8,8,0,0
Love♡Shine わんだふるmix,EXHAUST,12,ULTIMATE CHAIN,S,9968586,1,1,1,0
Love♡sicK,EXHAUST,11,EXCESSIVE COMPLETE,AAA,9738276,1,1,0,0
Rebellious stage,EXHAUST,10,EXCESSIVE COMPLETE,AAA+,9899328,1,1,0,0
Rebellious stage,INFINITE,13,EXCESSIVE COMPLETE,S,9936823,3,3,0,0
凛として咲く花の如く スプーキィテルミィンミックス,ADVANCED,6,COMPLETE,A+,9103165,3,1,0,0
凛として咲く花の如く スプーキィテルミィンミックス,EXHAUST,9,EXCESSIVE COMPLETE,S,9920701,7,4,0,0
凛として咲く花の如く スプーキィテルミィンミックス,INFINITE,15,EXCESSIVE COMPLETE,S,9922425,14,13,0,0
